Timestamp|Name|Roll No|Phone No.|Email Address|Room No & Block|In which areas do you wish to contribute to CSI?|Which Yantras are you interested in?|Tell us about your interests. What is important to you?|What was your favourite CSI (or non-CSI) event last year? Describe your experience. What did you like about it?|Mention any softwares you have worked with and rate yourself in each out 5. Your|List the languages you know and rate yourself out of 5.|Given a chance to initiate a project as a member of Sanganithra, describe the project you would pursue.|Additional Information|Select the softwares you've worked with before|Given a chance to initiate a project as a member of Vidyut, describe the project you would pursue.|Additional Information|Mention any specific areas of interest in the fields of Mechanical, Civil and Chemistry|Given a chance to initiate a project as a member of Yantrika, describe the project you would pursue.|Additional Information|Which degree are you currently pursuing?|Are you available over the weekend?||Interviewed By:|Yes/No/Maybe
8/14/2013 17:58|Name17|13RR17|123456805|abc1@gmail.com9|Room No 17|Technical|Sangnithra (Computers)|I am interested in learning java and web languages as much as possible.|I was in Bangalore during the csi event. To mention, my favourite event was the Quiz conducted by ISTE.||C , C++ (but not object oriented concepts)web : html , css , javascript(but not object oriented concepts)i have started to learn OOP with java.I don't like to rate myself.|I am interested to learn anything and implement it.|Not done any except a tic tac toe game in c.|||||||B.Tech|Yes|||
8/14/2013 19:03|Name18|13RR18|123456806|abc2@gmail.com10|Room No 18|Technical|Sangnithra (Computers)|My interest lies in getting acquainted wit the new innovations and developments happening around the world.... My outside interest includes listening music and m a cricket fanatic..... i hav played for my club back home...|My favourite event was Glider workshop...Because it was something new.. never done before event... besides in this event we actually made a glider by scrubbing and carving out... so after the workshop we had a glider in our hands made by us to show to people and make them jealous :P|photoshop:3 out of 5..|C-Programming: 4 out of 5....c++ programming:3 out of 5...Java bascs:3.5 out of 5...|May be any Gaming Project....||||||||B.Tech|Yes|||
8/14/2013 19:05|Name19|13RR19|123456807|abc1@gmail.com10|Room No 19|Technical, HR|Sangnithra (Computers)|my interests have been both marketing and technical since the first year . i would like to say that whateve0r makes better equipped and whatever makes me learn something is important to me .so there is no predefined thing that is important .|there were a lot of events but the thing i did enjoy a lot was the GRAND CANYON where we had to build a bridge using icecream sticks i liked the challenge that we had been presented with and it was totally a new thing for the first years and lot of fun (though our bridge was not aesthetically that pleasing it was quite a string one )..........i would also like to mention CONTRAPTION which brought out the innovative part in me .||java -4/5 c - 4/5c++ - 2/5|i would like to pursue something related with image processing that is a new field and would like to learn a lot on that subject the project would consist something related to scanning visual codes and performing certain action after the scan . and also would like to work on the NITK STREET VIEW|well i didnt quite work on anything profound in computers i did a project for my java course based on GUIs . and i did work on an analog line follower in the robotics club but that wouldnt be related to the field .i worked in ENGINEER 13 as a volunteer in the office and also during INCIDENT 13 was a part of the marketing team .|||||||B.Tech|Yes|||
8/14/2013 19:09|Name20|13RR20|123456808|abc2@gmail.com11|Room No 20|Technical, Media|Sangnithra (Computers)|Video Game development,Gadgets,Robots,Web development,Psychology,History,Cartoons.Game development is important to me.|I liked LUA workshop,Android workshop annd i cant remember the name but there was an event where we got to solve a programmed puzzle... i think its from IEEE, and i also liked that real life CS in ATB at engi time.|Maya 2.5Blender 1.5Gimp 1|Python 2c 4c++ 2.5Java (learning)Html 4.5C.S.S  2|Projects related to game development,Android app development,Web design,Programming of Robots.||||||||B.Tech|Yes|||
8/14/2013 19:15|Name21|13RR21|123456809|abc1@gmail.com11|Room No 21|Technical|Vidut (Electronics and Electrical)|maicrocontrollers and robotics|treasure huntexperience: that was funtastic... that was  just like discovering nitk and exploring your IQ .|||||Matlab, C++ or Embedded C|handling and coding of microcontrollersimage and signal processing using matlab|can do image processin using matlabprimitive knowedge of microcontroller roboticscan work on photoshop.......||||B.Tech|Yes|||
8/14/2013 19:29|Name22|13RR22|123456810|abc2@gmail.com12|Room No 22|Technical|Sangnithra (Computers), Vidut (Electronics and Electrical)|I am interested to work in as many projects as possible as my aim is to learn more and have a better understanding and experience esp in VIDYUT|I was most of the time unavailable during weekends , hence i was unable to attend any CSI event||C  4java(blue j platform)  3html  3css  2android (i don't know how to rate this.. probably below 2)|-create an exclusive android app for NITK , where all info about the clubs,meeting dates,events ,timings..etc can be posted(This is just an idea and i need to learn lot more android to try and implement)|Designed calculator app for android||#NAME?|know a bit of msp430 coding||||B.Tech|Yes|||
8/14/2013 19:38|Name23|13RR23|123456811|abc1@gmail.com12|Room No 23|Technical|Sangnithra (Computers)|My world revolves around a computer. Ive always been using my computer. My knowledge so far is limited only to C and Java but I'll always wanted to learn more. Im basically too lazy to do it myself. Gaming has always been my biggest time pass. Animation my biggest dream. But I ended up in civil :-\ ..|RTFM was my favourite event because it involved decoding puzzles plus it had rounds related to languages in computer!||C - 3/5 Yet to learn the graphics part.Java - 2.5/5 Learnt it in ICSE so a bit rough in it now. But used to be a 3/5.HTML - 3/5 Forgot a lot.|Animation has been my childhood dream. I would start a project to virtualise NITK campus to use as maps for games! Decoding is something ive always been fascinated off. Something related to decrypting is also what I would pursue.||||||||B.Tech|Yes|||
8/14/2013 19:39|Name24|13RR24|123456812|abc2@gmail.com13|Room No 24|Technical, HR, Media|Sangnithra (Computers), Kaaryavarta (Business), Saahitya (Literature)|i am interested in coding.. as far as what is important to me is considered i guess it is web development and visual editing|building the bridge out of icecream sticks(dont know the name ).... it had the right dose of fun and science which made it awesome|photoshop -1.5|C : 3.5java : 2|||||||||B.Tech|Yes|||
8/14/2013 19:48|Name25|13RR25|123456813|abc1@gmail.com13|Room No 25|Technical|Sangnithra (Computers)|I love singing carnatic music and collecting stamps and coins.I also love to coding.|Didn't actually attend any CSI event last year.||C (4)C++ (3)Java (4)Android (3)|I am into developing android apps so, I would like to initiate something in that line,like create an android app for NIT-K campus to know where what department is there or any specific location inside the campus.|I am developing an android app for an ongoing project called H.I.S (Human I.C.U Simulator) in IISc, Bangalore.I also have good programming skills.I have state award in Scouts and guides.|||||||B.Tech|Yes|||
8/14/2013 19:50|Name26|13RR26|123456814|abc2@gmail.com14|Room No 26|Technical|Vidut (Electronics and Electrical), Saahitya (Literature)|I am interested in electronics, and logic algorithms and basically I would like to learn and develop applications about the practical aspects of electronics and how algorithms can be applied in real everyday situations and I also like writing ,I believe that by efficient writing we would be able to disseminate really good ideas developed by our peers|Algorithm(I actually don't remember the name) where we were given basically questions related to the IT sector and general knowledge questions in the computer field,there was Contraption and an event where we had to determine the logic of a particular sequence of numbers ...That was my favorite!|||||C++ or Embedded C, pspice|Integrating electronic technology into classrooms to make the class more interactiveI am interested in signal processingI would like to learn more about DSP, MATLAB.|I have a basic general knowledge on electronics||||B.Tech|Yes|||
8/14/2013 20:00|Name27|13RR27|123456815|abc1@gmail.com14|Room No 27|Technical, HR|Kaaryavarta (Business)|I enjoy economics and finance. I take extra curriculars in college very seriously, and want to learn a new course outside of my branch every semester.|I enjoyed participating in Apprentice, i enjoyed the various rounds in the competition. I had a good time making the video ad, which turned out really well.|||||||||||B.Tech|No|||
8/14/2013 20:01|Name28|13RR28|123456816|abc2@gmail.com15|Room No 28|Technical, Media|Vidut (Electronics and Electrical)|Im interested in roboticsand also in astrophysics.|i liked junkyard manias from iste.i liked the part where it had both design and marketing events in it|i know in photoshop i think i would rate myself as 2||||Matlab, C++ or Embedded C, logism|i think i would like to work on project where to make the library smart and more efficient by using a smart card to issue books also to make pranv mistry's sixth technolgy in our college|i particpated in ieee fest for first years where we conducted an event known as ' A maze run'.I know a bit about image processing using matlab and microcontroller coding in msp and atmega.||||B.Tech|No|||
8/14/2013 20:12|Name29|13RR29|123456817|abc1@gmail.com15|Room No 29|Technical|Sangnithra (Computers)|I am interested  in playing mission games and most of the time spend in programming.|i think this is a opportunity for every student to participate in csi. This is a chance to interact with seniors.||c language 10|||||||||MCA|No|||
8/14/2013 20:15|Name30|13RR30|123456818|abc2@gmail.com16|Room No 30|Technical, Media|Sangnithra (Computers)|The notion of coding an idea into a product fascinates me. Mobile development , design and  coding interests me . I would like to contribute to the Open Source community after I finish a certain learning stage in algorithms,data structures and networking fundamentals.|I had a fun time participating in Marathon . Although I didn't make it to the further rounds, I learnt a lot about the areas of computer science where i lack|Photoshop - 3Illustrator- 3|C-3Core Java - 3HTML- 4CSS - 3|I would create an android application for CSI which would list all the upcoming events going to be conducted by the club and also provide information about the proceedings of the club for the rest of the students who are not members of the club.|Skills : Photoshop, Web design, Android app development Achievements : Participated in an international web designing competition conducted by Oracle called ThinkQuest|||||||B.Tech|Yes|||
8/14/2013 20:18|Name31|13RR31|123456819|abc1@gmail.com16|Room No 31|HR|Vidut (Electronics and Electrical)|I like reading story books. I am interested in dancing also. I love gaining new information and ideas. My career is more important to me.|My favourite event last year was scotland yard. I really enjoyed it. It was actually fun solving the mysteries with friends and searching for the stuffs based on the clues. I liked the way seniors managed it.|||||c-programming||||||B.Tech|Yes|||
8/14/2013 20:19|Name32|13RR32|123456820|abc2@gmail.com17|Room No 32|Technical|Sangnithra (Computers)|interested in coding big problems,learning new languages,about artificial intelligence.Getting involved in group projects.Finally taking pointer.|Non CSI event.Involvement in IEEE workshop.learnt a lot of subject related stuff.The most important liking was the kind of environment that we were exposed to.|Not at professional level.|c,c++,python.|Building a search engine and theoretical compscience.|worked in IEEE project and learnt python for special  applications.good at coding|||||||B.Tech|Yes|||
8/14/2013 20:19|Name33|13RR33|123456821|abc1@gmail.com17|Room No 33|Technical|Sangnithra (Computers)|I like playing cricket, football and table tennis. I like programming and thus I have taken IT.|"Apprentice was my favourite CSI event last year. The concept of ""The apprentice"" was what i liked best about it."||C++ ---> 4/5C --->4/5Java --->1/5Turbo C--->3/5|Really basic. But we can have a website/server where all the profs can upload their assignments, books or whatever material they want to pass to the students. It wont be restricted to only students and profs. HOD's can have a seperate page thing so they can pass the info to profs. Basically for the full college|I have made a turbo C project which was a bank management system.|||||||B.Tech|Yes|||
8/14/2013 20:19|Name34|13RR34|123456822|abc2@gmail.com18|Room No 34|Technical|Sangnithra (Computers)|interested in coding big problems,learning new languages,about artificial intelligence.Getting involved in group projects.Finally taking pointer.|Non CSI event.Involvement in IEEE workshop.learnt a lot of subject related stuff.The most important liking was the kind of environment that we were exposed to.|Not at professional level.|c,c++,python.|Building a search engine and theoretical compscience.|worked in IEEE project and learnt python for special  applications.good at coding|||||||B.Tech|Yes|||
8/14/2013 20:20|Name35|13RR35|123456823|abc1@gmail.com18|Room No 35|Technical|Yantrika (Mechanical)|I like reading,trekking,dancing.I like to learn new stuff.studies are important for me.|Contraption.....i enjoyed it a lot.. We completed all the tasks. Got new ideas from the competitors...||||||||fluid mechanics.||AutoCad, catia.|B.Tech|Yes|||
8/14/2013 20:32|Name36|13RR36|123456824|abc2@gmail.com19|Room No 36|Technical|Yantrika (Mechanical), Kaaryavarta (Business)|gaining technical knowledge,communication skills,group work.|contraption.i liked the logic|catia-3|||||||aeronautics,manufacturing.|design and develop an amateur aircraft.||B.Tech|No|||
8/14/2013 20:38|Name37|13RR37|123456825|abc1@gmail.com19|Room No 37|Media|Sangnithra (Computers)|want to more in programing ,softwares like photoshop, and even android app developing|photoshop , python , ethical hacking||c 2c++ 3|||||||||B.Tech|Yes|||
8/14/2013 20:38|Name38|13RR38|123456826|abc2@gmail.com20|Room No 38|Technical|Yantrika (Mechanical)|interested in programming i would like to contribute my work to some projects undertaken by csiyantras especially in yantrika..|scotland yard [iste]it was different from other events||english 4/5hindi 3/5kannada 3/5malayalam 3/5||i am interested in thinking out of the box and exploring and learning different things.||||working with autocad|radio controlled ic engine car||B.Tech|Yes|||
8/14/2013 20:41|Name39|13RR39|123456827|abc1@gmail.com20|Room No 39|Technical|Sangnithra (Computers)|I am interested in coding, playing football and exploring new places to eat!|My favourite CSI event was Apprentice. I had attended the interview for that event too.Apart from the CSI events, I even took part in Scotland Yard(conducted by ISTE), Pangea, Contraption etc.About all the events in my first year, I found that they were very informative and fun! And now I look forward to make the events for the present first year!||C++ : 4C : 4Ruby : 4HTML & CSS : 3Java : 3|I would like to make a project that would create an impact on the society, be it a social work, or a game.|Made Tower Of Hanoi and Hangman for the IEEE First Year Fest.Part of the team making games for Engineer website.|||||||B.Tech|Yes|||
8/14/2013 20:43|Name40|13RR40|123456828|abc2@gmail.com21|Room No 40|Technical|Sangnithra (Computers)|To me, my career is very important. I am a computer science engineering student and I love my field. Anything related to computer science and I am inquisitive for it. I love coding/programming. I love to learn about the latest technologies coming up, like more recently, Microsoft has launched a ‘split’ keyboard and has also come up with the Sculpt Ergonomic Mouse. I want to be updated. Besides I love to surf the internet and a regular 'Facebook' visitor.But besides computer science, I extend my love for many more science and technology fields. For me building a healthy career requires extensive knowledge. Knowledge is power and only makes a person wiser. So for me, knowledge(and education included) is of high priority. However I must mention that I am not a book-worm in any sort.|"In the student chapter of CSI, conducted along with the Department of Computer Science and Engineering of IMS Engineering College, I liked the event Technical Paper/Presentation, and actively participated in this event by presenting a technical paper on 'Spintronics'. It was an Inter college student seminar on ""Recent Trends and Future Prospective of Engineering and Management Technology(RTFEM 2012)"", held on 6th October 2012."||C (3), C++ (2), Java-core (4), ASP.Net (3), Python (2) , HTML4 (3) , PHP (1)|1) A download manager that can predict destination folder for downloaded : To develop a internet download manager which will do clustering folders on the basis of files they contain and then suggesting the user to move the downloaded file to the best possible folders.Environment/ Requirement : Pthreads/OpenMP, Sqlite/XML,C/C++ or Java2) Implementation of steganography : To combine the techniques by encrypting message using cryptography and then hiding the encrypted message using steganography. The resulting stego-image can be transmitted without revealing that secret information is being exchanged.Environment/ Requirement : Java3) Building a Web Browser and Search Engine : To develop an efficient web browser integrated with a search engine which will use web mining for better user satisfaction.Environment/ Requirement : Java, Java Swings, Net beans 6.9/7.0.4) Speech recognition system : To understand the speech recognition and its fundamentals. Its working and applications in different areas Its implementation as a desktop Application Development of software that can mainly be used for: Speech Recognition Text editing Tool for operating machine through voice.Environment/ Requirement : Java with SAPI.|1) PROJECT UNDERTAKEN :Topic : Credit Scoring with a Data Mining approach based on Support Vector Machine (S.V.M.)Description : A credit scoring application using Java which classifies the customer as good or bad based on the credit details of customer by using SVM kernel functions.2) EXTRA-CURRICULAR ACTIVITIES and ACHIEVEMENTS : -> Secured 95 percentile in the 9th NIIT National Aptitude Test (NAT), 2013.-> I secured an ‘A’ grade in the summer training course of Core Java Aligned with International Certification and secured an ‘A+’ grade and secured highest marks in my batch of the course ASP.NET during Winter Training from HPES.-> Presented a technical presentation on “Technology: A Catalyst for teaching in classrooms!”  in Presentation(Views) of the Intra College Fest MECHFAIR(2013) organized my Mechanical Engineering Department of IMSEC.-> Co-ordinated in Registration Committee of All India Inter College Sports Fest- Chakravyuh ’12 of IMSEC.-> Participated in a Debate Competition of the Intra College fest SPANDAN (2013) organized by Electronics and Communication and Engineering Department of IMSEC.-> Participated in Entrepreneurship Awareness Camp (under DST-NIMAT Project), organized by IEDC of IMSEC (2012).-> Worked as a Coordinator in the technical event Code Insomnia in intra-college fest ORION’13. I also coordinated in this fest in another event named Fash-P.-> Worked as Singing Coordinator in college fest (cultural) in ENTRUDO’12. Besides I also acted in a skit in ENTRUDO’12.-> Worked as a Coordinator of Seminar in Inter College Technical Fest COMPRIX RELOADED’12 organized by Computer Science and Engineering Department of IMS Engineering College.|||||||B.Tech|Yes|||
8/14/2013 20:46|Name41|13RR41|123456829|abc1@gmail.com21|Room No 41|Technical, Media|Sangnithra (Computers)|I m interested in working on projects which are really interesting and innovative... animation, flash in web page and databases, etc... For me it is more important to develop my skills and be able to help club in all the possible ways... i want to use and display my knowledge in all the effective ways...|adobe photoshop and contraption... it was quite interesting, and i learnt alot.|Flash 3.8/5|C 3.5/5JAVA 3.5/5Python 2/5*Flash 3.8/5HTML 4.5/5CSS 3.8/5SQL 4/5|I would like to do project on 3D animation usinf Flare3D and Flash... and database|never worked on a project, but have knowledge in database and other programming languages as mentioned above, along with other skills in Flash.|||||||B.Tech|No|||
8/14/2013 20:50|Name42|13RR42|123456830|abc2@gmail.com22|Room No 42|Technical, HR|Sangnithra (Computers)|i like to do programming like in c, c++, java etc apart from this i play computer games, cricket etc..being  a good ethical programmer and being honest person is important to me....!!!!!!!!!!|scontland yard was my fav event of last year..!!!!!!!!!!!i liked to join the clues in the events from different palces.............||c c++ java my-sql htmlrating for myself is 2(still i m learning them n wanna execel in this field)|projects like creating games or making animated movies etc||||||||B.Tech|Yes|||
8/14/2013 20:51|Name43|13RR43|123456831|abc1@gmail.com22|Room No 43|Technical|Sangnithra (Computers)|I like coding.Its pure logic and i love logic.It trains our brain to think out of the box.|Marathon. I went to the 2nd round of it.It was a very learning experiance, I liked the way the questions made us to think.||C Language: 4,C++ : 3|Given a chance I would like to do a project on search engines.|I have not done  any significant project.i had done a project on airline ticket booking in 12th std.|||||||B.Tech|No|||
8/14/2013 20:53|Name44|13RR44|123456832|abc2@gmail.com23|Room No 44|Technical|Vidut (Electronics and Electrical)|Interested in Digital Image Processing, Microcontrollers and Electronics|I don't remember whether I participated in CSI events or not. I participated in quiz kind of events of some clubs and really liked them.|||||Matlab|Would initiate a project related to Image Processing.|Know certain basic aspects of Digital Image Processing and basic Microcontroller coding . Worked with MATLAB||||B.Tech|Yes|||
